RE10132;David King Chinese Restaurant;A1009725;Atlantic Park, Clovelly Road;Bideford;ENG;GB;EX39 3QU;False;none;informal;3;no_accessibility;f;none;yes;Deli-Sandwiches;"13:00-08:00;";13:00;08:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
RE10624;Shen Wang Chinese Restaurant;A1066326;113 Barnet High Street;Barnet;ENG;GB;EN5 5UZ;False;none;informal;3;no_accessibility;f;none;valet parking;Hot_Dogs;"00:00-23:30;";00:00;23:30;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
RE10133;Popeyes Famous Fried Chicken;A1047248;160 Wharfside Street, The Mailbox;Birmingham;ENG;GB;B1 1RL;True;section;informal;4;completely;f;variety;yes;Diner;"13:00-08:00;";13:00;08:00;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10598;West Haven Martket & Grill;A1058016;98 Poole Rd;Bournemouth;ENG;GB;BH4 9EN;False;none;informal;5;no_accessibility;f;none;yes;Bar;"07:00-00:00;";07:00;00:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10340;Billy''s Gyros;A1092022;9 Bath Road, White Hart;Heathrow;ENG;GB;TW6 2AA;False;none;informal;2;no_accessibility;f;none;yes;Mexican;"07:00-23:30;";07:00;23:30;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10462;Bohica Bar And Grill;A1053639;51 Great Russell Street;London;ENG;GB;WC1B 3BA;False;permitted;casual;5;no_accessibility;f;none;none;Spanish;"07:00-23:00;";07:00;23:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10580;Hot Mollies;A1005105;114-115 St James's St;Brighton;ENG;GB;BN2 1TH;False;none;informal;4;no_accessibility;f;none;none;Mexican;"10:00-18:00;";10:00;18:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10533;Tata''s Daycare N Learning Center;A1060670;104-122 City Road;London;ENG;GB;EC1V 2NR;False;none;informal;4;completely;f;none;yes;Mexican;"08:00-23:00;";08:00;23:00;"Sat;";No;No;No;No;No;No;Yes;FlatRate;10
RE10486;Fireman Tom''s Ice Cream Commissary;A1033995;33 Cavendish Square, Unit 1;London;ENG;GB;W1G 0PW;False;none;informal;5;no_accessibility;f;none;none;American;"00:00-23:30;";00:00;23:30;"Sat;";No;No;No;No;No;No;Yes;FlatRate;7,5
RE10544;Hunan Garden Chen;A1057861;Unit SU35,  Grand Arcade, St. Andrew's St;Cambridge;ENG;GB;CB2 3BJ;False;none;informal;3;no_accessibility;f;none;yes;Bar;"00:00-00:00;";00:00;00:00;"Sun;";Yes;No;No;No;No;No;No;FlatRate;7,5
RE10534;360 Degrees Cafe;A1033609;376 Chiswick High road;London;ENG;GB;W4 5TF;False;section;informal;2;no_accessibility;f;none;none;American;"08:00-23:00;";08:00;23:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10536;Arnold Winnick Student Center;A1063558;22-23 Princes St;London;ENG;GB;W1B 2LY;True;section;informal;2;no_accessibility;f;none;public;Japanese;"10:00-15:00;";10:00;15:00;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10561;Vfw Post 2307;A1048967;Cheadle Rd;Cheadle;ENG;GB;SK8 1HW;False;not permitted;informal;5;no_accessibility;f;none;yes;Mediterranean;"09:00-23:30;";09:00;23:30;"Sat;";No;No;No;No;No;No;Yes;FlatRate;7,5
RE10516;Cocoplum 153;A1059514;18-20 Northgate St;Chester;ENG;GB;CH1 2HA;False;not permitted;informal;2;no_accessibility;f;none;yes;Bar;"12:00-23:00;";12:00;23:00;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10597;Crawford''s Corner;A1048006;220 Beckenham High Street;London;ENG;GB;BR3 1EN;False;not permitted;casual;1;no_accessibility;f;none;public;Mexican;"10:00-23:00;";10:00;23:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10599;Chi Cafe, Llc;A1055094;55 Borough High Street;London;ENG;GB;SE1 1NB;False;permitted;casual;4;no_accessibility;f;none;public;Mexican;"14:30-20:00;";14:30;20:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
RE10301;Big Daddy''s;A1036469;16-18 Palmer St;London;ENG;GB;SW1H 0AD;False;section;informal;5;no_accessibility;f;none;yes;Mexican;"07:30-18:00;";07:30;18:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10442;Big Daddy''s;A1036469;16-18 Palmer Street;London;ENG;GB;SW1H 0AD;False;section;informal;5;no_accessibility;f;none;yes;Mexican;"07:30-18:00;";07:30;18:00;"Sun;";Yes;No;No;No;No;No;No;Free;0
RE10492;Shining Star Child Development Institute Of The Arts Inc.;A1000517;47 High St;Deal;ENG;GB;CT14 6EL;True;section;informal;2;no_accessibility;f;none;none;Italian;"13:00-23:00;";13:00;23:00;"Sun;";Yes;No;No;No;No;No;No;FlatRate;10
RE10468;Orbit Gyros And Grill;A1060346;7 Oak Rd;Ealing;ENG;GB;W5 3SS;True;section;informal;5;no_accessibility;f;none;none;Mexican;"08:00-23:30;";08:00;23:30;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10446;Murphy''s Law Irish Pub;A1052909;Pinehurst Av;Farnborough;ENG;GB;GUI4 7BF;False;none;informal;4;no_accessibility;f;none;none;Bar_Pub_Brewery;"08:30-21:00;";08:30;21:00;"Sat;";No;No;No;No;No;No;Yes;FlatRate;10
RE10410;All Shook Up!;A1062928;East Lancashire Road, Unit (A);Liverpool;ENG;GB;L11 2ST;True;none;informal;2;no_accessibility;f;none;none;Mexican;"00:00-00:00;";00:00;00:00;"Sun;";Yes;No;No;No;No;No;No;FlatRate;7,5
RE10447;Colorado Coffee Company;A1012716;195 High St;Guildford;ENG;GB;GU1 3AW;False;none;informal;2;no_accessibility;f;none;none;Mexican;"08:00-17:00;";08:00;17:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;Free;0
RE10388;Docs;A1028792;Unit A, West One, Wellington Street;Leeds;ENG;GB;LS1 1BA;True;none;informal;3;no_accessibility;f;none;none;Fast_Food;"00:00-00:00;";00:00;00:00;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;FlatRate;10
RE10431;Off The Wall;A1090482;Unit 6, Victoria Centre, Cambridge St;Harrogate;ENG;GB;HG1 1RX;True;none;informal;2;no_accessibility;f;none;none;Mexican;"13:30-19:00;";13:30;19:00;"Sun;";Yes;No;No;No;No;No;No;FlatRate;10
RE10432;Fulu Sato;A1018961;71 London Rd;Headington;ENG;GB;OX3 9AA;False;permitted;formal;5;completely;f;none;yes;Mexican;"07:00-23:30;";07:00;23:30;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;FlatRate;5
RE10396;Josephine''s Cookin;A1058540;The Old Railway Shed, Upperton Road;Leicester;ENG;GB;LE3 0BG;False;section;informal;4;no_accessibility;f;none;none;Mexican;"00:00-00:00;";00:00;00:00;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10623;Hid;A1031007;10 Russell Street;London;ENG;GB;WC2B 5HZ;True;section;informal;4;no_accessibility;f;none;public;Hot_Dogs;"00:00-23:30;";00:00;23:30;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;FlatRate;7,5
RE10546;Eastern Style Pizza Ii Lt;A1040080;96 Westboune Grove;London;ENG;GB;W2 5RT;True;section;informal;4;completely;f;variety;none;Mexican;"07:00-22:00;";07:00;22:00;"Sat;";No;No;No;No;No;No;Yes;Free;0
RE10614;Peking Chinese Restaurant 888;A1024382;27 Victoria Street;London;ENG;GB;SW1H 0EX;False;none;informal;4;no_accessibility;f;none;yes;American;"00:00-23:30;";00:00;23:30;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;FlatRate;7,5
RE10629;Ponderosa Steak House;A1012782;62 Wandsworth Rd;London;ENG;GB;SW8 2LF;True;none;informal;3;completely;t;none;public;American;"00:00-23:30;";00:00;23:30;"Mon;Tue;Wed;Thu;Fri;";No;Yes;Yes;Yes;Yes;Yes;No;FlatRate;7,5
RE10630;Pint Of Plain Tap House;A1087145;54-56 Greenwich Church Street;London;ENG;GB;SE10 9BL;False;none;informal;2;completely;f;none;none;Mexican;"12:00-19:00;";12:00;19:00;"Sun;";Yes;No;No;No;No;No;No;FlatRate;5
